179		       		179				179				179
  111.0      0.1694    	    111.0      0.1339    	   111.0      0.7074E-01	   111.0      0.2199    
  112.0      0.1568    	    112.0      0.1370    	   112.0      0.7132E-01	   112.0      0.2082    
  113.0      0.1440    	    113.0      0.1414    	   113.0      0.7287E-01	   113.0      0.1955    
  114.0      0.1314    	    114.0      0.1467    	   114.0      0.7519E-01	   114.0      0.1823    
  115.0      0.1193    	    115.0      0.1524    	   115.0      0.7806E-01	   115.0      0.1691    
  116.0      0.1081    	    116.0      0.1583    	   116.0      0.8125E-01	   116.0      0.1560    
  117.0      0.9789E-01	    117.0      0.1639    	   117.0      0.8453E-01	   117.0      0.1436    
  118.0      0.8897E-01	    118.0      0.1690    	   118.0      0.8770E-01	   118.0      0.1319    
  119.0      0.8144E-01	    119.0      0.1734    	   119.0      0.9055E-01	   119.0      0.1212    
  120.0      0.7538E-01	    120.0      0.1768    	   120.0      0.9292E-01	   120.0      0.1116    
  121.0      0.7079E-01	    121.0      0.1790    	   121.0      0.9468E-01	   121.0      0.1032    
  122.0      0.6764E-01	    122.0      0.1800    	   122.0      0.9575E-01	   122.0      0.9591E-01
  123.0      0.6583E-01	    123.0      0.1795    	   123.0      0.9606E-01	   123.0      0.8987E-01
  124.0      0.6523E-01	    124.0      0.1775    	   124.0      0.9560E-01	   124.0      0.8500E-01
  125.0      0.6568E-01	    125.0      0.1742    	   125.0      0.9438E-01	   125.0      0.8129E-01
  126.0      0.6703E-01	    126.0      0.1694    	   126.0      0.9245E-01	   126.0      0.7871E-01
  127.0      0.6910E-01	    127.0      0.1633    	   127.0      0.8985E-01	   127.0      0.7721E-01
  128.0      0.7171E-01	    128.0      0.1560    	   128.0      0.8666E-01	   128.0      0.7673E-01
  129.0      0.7467E-01	    129.0      0.1477    	   129.0      0.8295E-01	   129.0      0.7719E-01
  130.0      0.7781E-01	    130.0      0.1386    	   130.0      0.7881E-01	   130.0      0.7849E-01
  131.0      0.8093E-01	    131.0      0.1290    	   131.0      0.7433E-01	   131.0      0.8051E-01
  132.0      0.8386E-01	    132.0      0.1190    	   132.0      0.6958E-01	   132.0      0.8308E-01
  133.0      0.8643E-01	    133.0      0.1089    	   133.0      0.6468E-01	   133.0      0.8604E-01
  134.0      0.8848E-01	    134.0      0.9896E-01	   134.0      0.5970E-01	   134.0      0.8921E-01
  135.0      0.8989E-01	    135.0      0.8933E-01	   135.0      0.5474E-01	   135.0      0.9241E-01
  136.0      0.9055E-01	    136.0      0.8023E-01	   136.0      0.4991E-01	   136.0      0.9550E-01
  137.0      0.9041E-01	    137.0      0.7181E-01	   137.0      0.4528E-01	   137.0      0.9834E-01
  138.0      0.8946E-01	    138.0      0.6419E-01	   138.0      0.4095E-01	   138.0      0.1008    
  139.0      0.8772E-01	    139.0      0.5747E-01	   139.0      0.3699E-01	   139.0      0.1029    
  140.0      0.8525E-01	    140.0      0.5172E-01	   140.0      0.3346E-01	   140.0      0.1046    
  141.0      0.8216E-01	    141.0      0.4697E-01	   141.0      0.3042E-01	   141.0      0.1058    
  142.0      0.7855E-01	    142.0      0.4324E-01	   142.0      0.2788E-01	   142.0      0.1066    
  143.0      0.7456E-01	    143.0      0.4051E-01	   143.0      0.2587E-01	   143.0      0.1071    
  144.0      0.7030E-01	    144.0      0.3877E-01	   144.0      0.2438E-01	   144.0      0.1072    
  145.0      0.6592E-01	    145.0      0.3797E-01	   145.0      0.2341E-01	   145.0      0.1070    
  146.0      0.6153E-01	    146.0      0.3806E-01	   146.0      0.2293E-01	   146.0      0.1066    
  147.0      0.5726E-01	    147.0      0.3899E-01	   147.0      0.2292E-01	   147.0      0.1059    
  148.0      0.5323E-01	    148.0      0.4068E-01	   148.0      0.2335E-01	   148.0      0.1049    
  149.0      0.4954E-01	    149.0      0.4306E-01	   149.0      0.2420E-01	   149.0      0.1038    
  150.0      0.4630E-01	    150.0      0.4604E-01	   150.0      0.2546E-01	   150.0      0.1025    
  151.0      0.4361E-01	    151.0      0.4955E-01	   151.0      0.2710E-01	   151.0      0.1010    
  152.0      0.4155E-01	    152.0      0.5349E-01	   152.0      0.2911E-01	   152.0      0.9940E-01
  153.0      0.4019E-01	    153.0      0.5778E-01	   153.0      0.3145E-01	   153.0      0.9773E-01
  154.0      0.3958E-01	    154.0      0.6234E-01	   154.0      0.3413E-01	   154.0      0.9605E-01
  155.0      0.3974E-01	    155.0      0.6709E-01	   155.0      0.3709E-01	   155.0      0.9443E-01
  156.0      0.4065E-01	    156.0      0.7196E-01	   156.0      0.4030E-01	   156.0      0.9296E-01
  157.0      0.4228E-01	    157.0      0.7690E-01	   157.0      0.4373E-01	   157.0      0.9170E-01
  158.0      0.4457E-01	    158.0      0.8185E-01	   158.0      0.4731E-01	   158.0      0.9072E-01
  159.0      0.4744E-01	    159.0      0.8679E-01	   159.0      0.5101E-01	   159.0      0.9009E-01
  160.0      0.5080E-01	    160.0      0.9170E-01	   160.0      0.5476E-01	   160.0      0.8983E-01
