179	179	179	179
   92.00       5.821		   92.00	3.944	 	   92.00	 2.981	  	   92.00	  2.472
   93.00       5.823		   93.00	3.874	 	   93.00	 2.921	  	   93.00	  2.419
   94.00       5.824		   94.00	3.813	 	   94.00	 2.869	  	   94.00	  2.370
   95.00       5.823		   95.00	3.762	 	   95.00	 2.824	  	   95.00	  2.325
   96.00       5.818		   96.00	3.718	 	   96.00	 2.785	  	   96.00	  2.283
   97.00       5.809		   97.00	3.680	 	   97.00	 2.752	  	   97.00	  2.245
   98.00       5.794		   98.00	3.648	 	   98.00	 2.725	  	   98.00	  2.210
   99.00       5.774		   99.00	3.619	 	   99.00	 2.702	  	   99.00	  2.178
   100.0       5.747		   100.0	3.592	 	   100.0	 2.683	  	   100.0	  2.150
   101.0       5.713		   101.0	3.567	 	   101.0	 2.666	  	   101.0	  2.124
   102.0       5.671		   102.0	3.543	 	   102.0	 2.652	  	   102.0	  2.100
   103.0       5.622		   103.0	3.518	 	   103.0	 2.639	  	   103.0	  2.078
   104.0       5.565		   104.0	3.492	 	   104.0	 2.627	  	   104.0	  2.059
   105.0       5.501		   105.0	3.465	 	   105.0	 2.615	  	   105.0	  2.040
   106.0       5.430		   106.0	3.434	 	   106.0	 2.602	  	   106.0	  2.023
   107.0       5.351		   107.0	3.401	 	   107.0	 2.588	  	   107.0	  2.007
   108.0       5.266		   108.0	3.364	 	   108.0	 2.572	  	   108.0	  1.991
   109.0       5.175		   109.0	3.324	 	   109.0	 2.554	  	   109.0	  1.976
   110.0       5.078		   110.0	3.280	 	   110.0	 2.534	  	   110.0	  1.960
   111.0       4.976		   111.0	3.232	 	   111.0	 2.511	  	   111.0	  1.945
   112.0       4.869		   112.0	3.180	 	   112.0	 2.485	  	   112.0	  1.928
   113.0       4.759		   113.0	3.125	 	   113.0	 2.456	  	   113.0	  1.912
   114.0       4.646		   114.0	3.065	 	   114.0	 2.424	  	   114.0	  1.894
   115.0       4.531		   115.0	3.002	 	   115.0	 2.389	  	   115.0	  1.876
   116.0       4.415		   116.0	2.936	 	   116.0	 2.350	  	   116.0	  1.856
   117.0       4.297		   117.0	2.867	 	   117.0	 2.310	  	   117.0	  1.835
   118.0       4.180		   118.0	2.796	 	   118.0	 2.266	  	   118.0	  1.812
   119.0       4.064		   119.0	2.723	 	   119.0	 2.220	  	   119.0	  1.789
   120.0       3.949		   120.0	2.648	 	   120.0	 2.172	  	   120.0	  1.763
   121.0       3.836		   121.0	2.573	 	   121.0	 2.122	  	   121.0	  1.737
   122.0       3.726		   122.0	2.497	 	   122.0	 2.071	  	   122.0	  1.708
   123.0       3.620		   123.0	2.422	 	   123.0	 2.018	  	   123.0	  1.679
   124.0       3.517		   124.0	2.347	 	   124.0	 1.964	  	   124.0	  1.648
   125.0       3.420		   125.0	2.274	 	   125.0	 1.910	  	   125.0	  1.616
   126.0       3.327		   126.0	2.202	 	   126.0	 1.855	  	   126.0	  1.582
   127.0       3.239		   127.0	2.132	 	   127.0	 1.800	  	   127.0	  1.548
   128.0       3.157		   128.0	2.065	 	   128.0	 1.746	  	   128.0	  1.513
